Date,DHB,Active,Recovered,Deceased,Total
2021-03-09,Hawke's Bay,0,44,0,44
2021-03-09,Counties Manukau,2,229,1,232
2021-03-09,Capital and Coast,0,94,2,96
2021-03-09,Canterbury,0,156,12,168
2021-03-09,Bay of Plenty,0,48,0,48
2021-03-09,Managed Isolation & Quarantine,77,597,1,675
2021-03-09,Total,79,2304,26,2409
2021-03-10,Auckland,0,225,1,226
2021-03-10,Whanganui,0,9,0,9
2021-03-10,West Coast,0,4,1,5
2021-03-10,Waitemata,0,296,4,300
2021-03-10,Wairarapa,0,8,0,8
2021-03-10,Waikato,0,193,2,195
2021-03-10,Taranaki,0,16,0,16
2021-03-10,Tairawhiti,0,4,0,4
2021-03-10,Southern,0,214,2,216
2021-03-10,South Canterbury,0,17,0,17
2021-03-10,Northland,0,29,0,29
2021-03-10,Nelson Marlborough,0,49,0,49
2021-03-10,Mid Central,0,32,0,32
2021-03-10,Lakes,0,16,0,16
2021-03-10,Hutt Valley,0,24,0,24
2021-03-10,Hawke's Bay,0,44,0,44
2021-03-10,Counties Manukau,2,229,1,232
2021-03-10,Capital and Coast,0,94,2,96
2021-03-10,Canterbury,0,156,12,168
2021-03-10,Bay of Plenty,0,48,0,48
2021-03-10,Managed Isolation & Quarantine,78,597,1,676
2021-03-10,Total,80,2304,26,2410
2021-03-11,Auckland,0,225,1,226
2021-03-11,Whanganui,0,9,0,9
2021-03-11,West Coast,0,4,1,5
2021-03-11,Waitemata,0,296,4,300
2021-03-11,Wairarapa,0,8,0,8
2021-03-11,Waikato,0,193,2,195
2021-03-11,Taranaki,0,16,0,16
2021-03-11,Tairawhiti,0,4,0,4
2021-03-11,Southern,0,214,2,216
2021-03-11,South Canterbury,0,17,0,17
2021-03-11,Northland,0,29,0,29
2021-03-11,Nelson Marlborough,0,49,0,49
2021-03-11,Mid Central,0,32,0,32
